Item_Fat_Content,Item_MRP,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,117.944,Health and Hygiene,0.128478462,,1985,OUT019,Tier 1,Small,Grocery Store
1,112.8176,Dairy,0.075107656,5.75,1987,OUT013,Tier 3,High,Supermarket Type1
1,226.8062,Baking Goods,0.049381405999999996,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,100.0016,Snack Foods,0.045165795999999994,11.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,165.7526,Fruits and Vegetables,0.09415375,,1985,OUT019,Tier 1,Small,Grocery Store
0,130.431,Health and Hygiene,0.028907832,14.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,179.766,Frozen Foods,0.018059621,19.75,2002,OUT045,Tier 2,,Supermarket Type1
0,85.0882,Household,0.09043609400000001,6.525,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,103.9648,Meat,0.146399712,10.3,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,264.7568,Snack Foods,0.07426435599999999,5.78,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,164.1526,Fruits and Vegetables,0.050186725999999994,11.85,2002,OUT045,Tier 2,,Supermarket Type1
0,50.1324,Fruits and Vegetables,0.020631654,16.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,182.5976,Household,0.01561108,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,37.6164,Fruits and Vegetables,0.041395445,10.5,1997,OUT046,Tier 1,Small,Supermarket Type1
1,48.0718,Frozen Foods,0.097313129,19.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,238.8538,Others,0.059582996,14.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,62.9194,Dairy,0.09866365199999999,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,232.63,Canned,0.101338651,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,104.62799999999999,Health and Hygiene,0.052146455999999994,18.75,2002,OUT045,Tier 2,,Supermarket Type1
1,161.8868,Baking Goods,0.041764487,5.26,2004,OUT035,Tier 2,Small,Supermarket Type1
0,140.2154,Snack Foods,0.054344185999999996,18.25,2002,OUT045,Tier 2,,Supermarket Type1
0,177.937,Baking Goods,0.07836248400000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,242.7512,Meat,0.052339069,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1
1,81.5934,Baking Goods,0.042464962,15.5,1998,OUT010,Tier 3,,Grocery Store
0,45.7402,Frozen Foods,0.06573288299999999,13.65,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,189.3846,Soft Drinks,0.023625114,16.1,2002,OUT045,Tier 2,,Supermarket Type1
1,107.3622,Snack Foods,0.051643608,,1985,OUT019,Tier 1,Small,Grocery Store
0,39.7164,Frozen Foods,0.165694219,12.85,1998,OUT010,Tier 3,,Grocery Store
0,32.99,Soft Drinks,0.041878397000000005,9.5,2004,OUT035,Tier 2,Small,Supermarket Type1
0,245.1802,Dairy,0.058091482,13.8,2004,OUT035,Tier 2,Small,Supermarket Type1
1,263.7568,Snack Foods,0.0,5.78,2007,OUT017,Tier 2,,Supermarket Type1
0,96.0726,Household,0.026903714,19.7,2002,OUT045,Tier 2,,Supermarket Type1
0,161.5552,Household,0.0,14.65,1998,OUT010,Tier 3,,Grocery Store
1,130.0626,Snack Foods,0.150554711,6.67,1998,OUT010,Tier 3,,Grocery Store
1,131.2968,Fruits and Vegetables,0.0,6.11,1998,OUT010,Tier 3,,Grocery Store
1,260.0936,Frozen Foods,0.13497562800000001,13.65,1998,OUT010,Tier 3,,Grocery Store
0,160.6578,Meat,0.15616879,17.2,1987,OUT013,Tier 3,High,Supermarket Type1
0,40.2822,Meat,0.0,6.32,2004,OUT035,Tier 2,Small,Supermarket Type1
1,52.9298,Baking Goods,0.133700752,4.88,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,88.3514,Baking Goods,0.115119905,5.425,2007,OUT017,Tier 2,,Supermarket Type1
1,37.2506,Frozen Foods,0.11003099699999999,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1
0,121.7072,Canned,0.051038045,7.5,2007,OUT017,Tier 2,,Supermarket Type1
0,161.5578,Soft Drinks,0.062837968,12.65,1987,OUT013,Tier 3,High,Supermarket Type1
0,211.956,Others,0.017116983,,1985,OUT019,Tier 1,Small,Grocery Store
0,124.17299999999999,Fruits and Vegetables,0.024129332000000003,20.75,1987,OUT013,Tier 3,High,Supermarket Type1
0,152.134,Dairy,0.049754975,,1985,OUT019,Tier 1,Small,Grocery Store
0,79.7644,Canned,0.0,9.0,2004,OUT035,Tier 2,Small,Supermarket Type1
0,181.9292,Canned,0.101561568,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,165.6526,Household,0.0059496440000000005,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,170.4764,Seafood,0.13956116,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,86.4198,Fruits and Vegetables,0.126035694,14.1,2002,OUT045,Tier 2,,Supermarket Type1
0,152.334,Canned,0.027164679,7.55,2004,OUT035,Tier 2,Small,Supermarket Type1
0,45.406000000000006,Household,0.099325278,13.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,192.8846,Hard Drinks,0.04357366,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,118.7782,Snack Foods,0.082741482,,1985,OUT019,Tier 1,Small,Grocery Store
1,92.9804,Starchy Foods,0.064565202,12.3,1987,OUT013,Tier 3,High,Supermarket Type1
0,109.8912,Snack Foods,0.08455456900000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,79.9618,Health and Hygiene,0.058451805,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,251.3724,Household,0.113748685,17.25,2002,OUT045,Tier 2,,Supermarket Type1
0,42.7112,Household,0.020603511,15.85,2007,OUT017,Tier 2,,Supermarket Type1
0,192.1846,Health and Hygiene,0.052044976,18.85,2004,OUT035,Tier 2,Small,Supermarket Type1
1,227.6062,Fruits and Vegetables,0.06276442900000001,16.35,2007,OUT017,Tier 2,,Supermarket Type1
0,229.0668,Dairy,0.08797726199999999,14.1,2004,OUT035,Tier 2,Small,Supermarket Type1
0,249.0408,Snack Foods,0.010010425,7.905,2004,OUT035,Tier 2,Small,Supermarket Type1
0,179.3976,Canned,0.033946163,12.0,1987,OUT013,Tier 3,High,Supermarket Type1
1,163.4552,Fruits and Vegetables,0.058414678,12.15,2004,OUT035,Tier 2,Small,Supermarket Type1
0,75.367,Meat,0.027106459,10.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,262.491,Frozen Foods,0.027022882999999998,17.5,2007,OUT017,Tier 2,,Supermarket Type1
0,152.034,Dairy,0.058153409,,1985,OUT019,Tier 1,Small,Grocery Store
0,112.3886,Fruits and Vegetables,0.128937661,17.1,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,61.451,Fruits and Vegetables,0.088846306,7.785,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,125.9704,Snack Foods,0.09357779,11.8,1987,OUT013,Tier 3,High,Supermarket Type1
1,171.8764,Fruits and Vegetables,0.165694678,13.15,2002,OUT045,Tier 2,,Supermarket Type1
0,41.5796,Frozen Foods,0.148392623,,1985,OUT019,Tier 1,Small,Grocery Store
0,51.1324,Canned,0.098438394,8.5,2007,OUT017,Tier 2,,Supermarket Type1
0,96.34100000000001,Health and Hygiene,0.143303291,8.645,1987,OUT013,Tier 3,High,Supermarket Type1
1,110.9202,Meat,0.076276208,17.6,2002,OUT045,Tier 2,,Supermarket Type1
0,127.5362,Baking Goods,0.175103435,9.1,2007,OUT017,Tier 2,,Supermarket Type1
1,225.9404,Meat,0.023511371,12.8,1987,OUT013,Tier 3,High,Supermarket Type1
0,95.4436,Soft Drinks,0.06105276,7.63,2004,OUT035,Tier 2,Small,Supermarket Type1
1,246.4144,Frozen Foods,0.049559042000000005,9.285,2007,OUT017,Tier 2,,Supermarket Type1
1,231.03,Dairy,0.119418124,13.6,2002,OUT045,Tier 2,,Supermarket Type1
0,176.237,Breakfast,0.072545601,8.895,2002,OUT045,Tier 2,,Supermarket Type1
0,195.21099999999998,Household,0.090486828,16.35,1987,OUT013,Tier 3,High,Supermarket Type1
0,43.3454,Frozen Foods,0.056245075,17.6,1987,OUT013,Tier 3,High,Supermarket Type1
0,85.225,Baking Goods,0.014618973,7.975,1987,OUT013,Tier 3,High,Supermarket Type1
0,36.7164,Starchy Foods,0.04347912599999999,15.85,2007,OUT017,Tier 2,,Supermarket Type1
0,178.666,Frozen Foods,0.045166237000000005,15.7,1987,OUT013,Tier 3,High,Supermarket Type1
1,128.83100000000002,Frozen Foods,0.057827101,8.985,1997,OUT046,Tier 1,Small,Supermarket Type1
0,260.1594,Dairy,0.089394766,20.35,1987,OUT013,Tier 3,High,Supermarket Type1
0,85.6908,Fruits and Vegetables,0.10550944,6.59,1987,OUT013,Tier 3,High,Supermarket Type1
0,264.0884,Dairy,0.005234153,19.85,2004,OUT035,Tier 2,Small,Supermarket Type1
0,91.4488,Snack Foods,0.036390174,16.85,1997,OUT046,Tier 1,Small,Supermarket Type1
0,173.1738,Meat,0.03292824,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,256.4988,Fruits and Vegetables,0.081252534,16.75,1987,OUT013,Tier 3,High,Supermarket Type1
1,110.5202,Meat,0.076552407,17.6,2007,OUT017,Tier 2,,Supermarket Type1
0,250.4408,Snack Foods,0.016758568999999997,7.905,1998,OUT010,Tier 3,,Grocery Store
0,126.20200000000001,Snack Foods,0.044248175,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,103.1964,Fruits and Vegetables,0.038288087,7.785,2009,OUT018,Tier 3,Medium,Supermarket Type2
