"","Item_Fat_Content","Item_MRP","Item_Type","Item_Visibility","Item_Weight","Outlet_Establishment_Year","Outlet_Identifier","Outlet_Location_Type","Outlet_Size","Outlet_Type"
"66",0,185.4266,"Snack Foods",0.195068226,17.7,1998,"OUT010","Tier 3","Medium","Grocery Store"
"67",0,172.5738,"Meat",0.033082215,19.35,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"68",1,186.024,"Dairy",0.078946455,13.65,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"69",0,164.8526,"Soft Drinks",0.041700756,17.6,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"70",0,95.841,"Health and Hygiene",0.143422643,8.645,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"71",1,170.1764,"Snack Foods",0.105296072,15.6,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"72",1,59.222,"Baking Goods",0.121531501,15.85,1987,"OUT013","Tier 3","High","Supermarket Type1"
"73",0,164.7526,"Starchy Foods",0,18.25,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"74",0,189.6188,"Canned",0.011324862,7.855,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"75",0,254.3698,"Household",0.186357148,7.825,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"76",1,114.0176,"Frozen Foods",0.024205661,8.39,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"77",0,172.3422,"Snack Foods",0.033230816,12.85,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"78",0,89.9804,"Baking Goods",0.113720344,12.7471243815946,1985,"OUT019","Tier 1","Small","Grocery Store"
"79",0,104.9622,"Frozen Foods",0.112556507,19,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"80",0,222.5456,"Canned",0,5.905,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"81",0,101.87,"Snack Foods",0.059352241,7.76,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"82",1,180.3344,"Frozen Foods",0.014087057,11.8,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"83",0,187.9556,"Snack Foods",0.045230944,16.75,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"84",0,194.6136,"Household",0.293417759,14.1787869323835,1985,"OUT019","Tier 1","Small","Grocery Store"
"85",1,171.3764,"Baking Goods",0.031382044,11.9054093650632,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"86",1,177.0028,"Fruits and Vegetables",0.12639886,15.5,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"87",0,160.992,"Fruits and Vegetables",0.025403898,6.055,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"88",1,155.963,"Breakfast",0.039057677,16.171573391213,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"89",1,95.6436,"Snack Foods",0.123115764,6.305,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"90",0,117.2808,"Meat",0.039624006,20.85,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"91",0,122.173,"Fruits and Vegetables",0.040421193,20.75,1998,"OUT010","Tier 3","Medium","Grocery Store"
"92",0,39.9138,"Dairy",0.105274111,8.895,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"93",0,55.1614,"Soft Drinks",0.033970195,19.6,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"94",0,57.893,"Fruits and Vegetables",0.053212652,19.7,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"95",0,114.5492,"Health and Hygiene",0.024378706,9.8,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"96",0,120.0414,"Frozen Foods",0.009714595,10.3266501468854,1985,"OUT019","Tier 1","Small","Grocery Store"
"97",0,246.046,"Frozen Foods",0.131383762,12.15,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"98",1,187.4556,"Fruits and Vegetables",0.07461309,8.75,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"99",0,149.9708,"Household",0.028459761,12.0849828341084,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"100",1,187.8556,"Fruits and Vegetables",0.074627201,8.75,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"101",0,151.0708,"Frozen Foods",0.063695084,13.3,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"102",1,178.5344,"Snack Foods",0.045797829,15.2083239949429,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"103",1,179.1028,"Snack Foods",0.115857223,8.31,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"104",1,38.7822,"Soft Drinks",0.024832806,16.75,1987,"OUT013","Tier 3","High","Supermarket Type1"
"105",0,212.0902,"Snack Foods",0.034027909,19.75,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"106",1,141.1838,"Canned",0.0467696,17.1,1987,"OUT013","Tier 3","High","Supermarket Type1"
"107",1,163.121,"Baking Goods",0.116576702,10.5,1987,"OUT013","Tier 3","High","Supermarket Type1"
"108",1,121.3098,"Baking Goods",0,6.635,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"109",0,225.372,"Soft Drinks",0.278974075,11.2752714529173,1985,"OUT019","Tier 1","Small","Grocery Store"
"110",0,41.4138,"Soft Drinks",0.035913805,14.15,1987,"OUT013","Tier 3","High","Supermarket Type1"
"111",0,232.53,"Dairy",0.079806266,13.3,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"112",0,102.4016,"Frozen Foods",0.005505481,8.89,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"113",1,176.937,"Meat",0.064625342,13.7105898672477,1985,"OUT019","Tier 1","Small","Grocery Store"
"114",0,121.7098,"Snack Foods",0.071636937,12.9704092280152,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"115",1,173.2054,"Breads",0,9.1,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"116",0,239.0906,"Frozen Foods",0.032677678,7.5,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"117",1,192.4478,"Frozen Foods",0.160760054,16.85,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"118",0,109.0228,"Snack Foods",0.06911065,7.485,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"119",0,140.3154,"Soft Drinks",0.041177505,11.6,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"120",0,227.0694,"Snack Foods",0.040081193,11.65,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"121",0,47.5034,"Household",0.035307322,13,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"122",0,159.0578,"Soft Drinks",0.063017847,12.65,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"123",1,92.512,"Canned",0.171938781,20.25,1998,"OUT010","Tier 3","Medium","Grocery Store"
"124",1,190.153,"Canned",0.040197932,8.6,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"125",0,62.7194,"Breads",0.049058014,12.6,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"126",0,95.041,"Frozen Foods",0.01161096,17.7,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"127",0,82.4276,"Soft Drinks",0.183507295,14.15,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"128",0,52.7956,"Dairy",0.102349519,19.25,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"129",0,151.7682,"Hard Drinks",0.086708987,8.88,1987,"OUT013","Tier 3","High","Supermarket Type1"
"130",0,40.2822,"Household",0.032835147,20.5,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"131",0,180.5976,"Canned",0.033809913,12.1495907347004,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"132",0,160.292,"Household",0.07266912,13.5,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"133",0,224.4404,"Health and Hygiene",0.144338493,14.1890111628514,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"134",0,101.7016,"Frozen Foods",0.009163216,8.89,1998,"OUT010","Tier 3","Medium","Grocery Store"
"135",0,188.5188,"Canned",0.011307038,7.855,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"136",0,116.0492,"Household",0.076855628,7.235,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"137",0,165.4526,"Starchy Foods",0.059956876,14.9934497013774,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"138",0,60.5852,"Dairy",0.038532062,6.92,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"139",0,90.8172,"Fruits and Vegetables",0.043209581,9.3,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"140",0,132.1284,"Others",0.056816465,18.5,1998,"OUT010","Tier 3","Medium","Grocery Store"
"141",0,154.5972,"Household",0.019866705,8.02,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"142",0,105.1622,"Household",0.048331717,9.195,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"143",0,105.5938,"Others",0.091221855,12.8,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"144",0,177.6344,"Household",0.027622076,16.6,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"145",1,53.064,"Frozen Foods",0,14,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"146",0,246.3802,"Frozen Foods",0.039355947,18.6,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"147",0,226.8404,"Starchy Foods",0.060836524,16,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"148",0,160.692,"Health and Hygiene",0.082316506,17.6,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"149",0,178.237,"Snack Foods",0.155350299,21.25,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"150",0,117.5492,"Household",0.076841095,7.235,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"151",0,50.3692,"Soft Drinks",0.151419185,14.6,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"152",1,161.521,"Frozen Foods",0.026001976,13.85,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"153",1,197.6426,"Frozen Foods",0.073209447,13.65,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"154",0,31.29,"Soft Drinks",0.041683481,12.2410116458674,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"155",0,226.172,"Fruits and Vegetables",0.042560252,7.365,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"156",0,223.5746,"Household",0.014081156,18.35,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"157",1,132.5626,"Baking Goods",0,5.465,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"158",0,99.8358,"Breakfast",0.152918384,18.6,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"159",0,140.9154,"Soft Drinks",0.030969274,13.85,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"160",1,154.5656,"Frozen Foods",0.060376776,14,1987,"OUT013","Tier 3","High","Supermarket Type1"
"161",1,54.764,"Snack Foods",0.04192285,14,1987,"OUT013","Tier 3","High","Supermarket Type1"
"162",0,97.0094,"Fruits and Vegetables",0.077367431,14.0185191486693,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"163",0,222.5456,"Canned",0.045838211,5.905,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"164",0,114.2518,"Soft Drinks",0.071077939,7.27,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"165",1,214.556,"Meat",0.094659871,6.155,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"166",1,233.4958,"Soft Drinks",0.077608838,19.5,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"167",0,216.8824,"Canned",0.021327477,15.2,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"168",1,125.0046,"Canned",0.042485444,12.15,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"169",0,198.8084,"Household",0.025578526,13.0204861065354,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"170",0,61.9194,"Breads",0.0489808,12.6,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"171",0,164.821,"Others",0.019471688,14.5,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"172",0,173.0738,"Fruits and Vegetables",0.122918852,16.6,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"173",1,151.4366,"Meat",0.057373797,11.8,1987,"OUT013","Tier 3","High","Supermarket Type1"
"174",1,178.8318,"Fruits and Vegetables",0.044155597,13.1,1987,"OUT013","Tier 3","High","Supermarket Type1"
"175",0,115.1834,"Fruits and Vegetables",0.291865402,17.7,1998,"OUT010","Tier 3","Medium","Grocery Store"
"176",0,196.5794,"Breads",0,17.85,1998,"OUT010","Tier 3","Medium","Grocery Store"
"177",1,92.6804,"Starchy Foods",0.064750025,12.3,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"178",0,81.4618,"Health and Hygiene",0.098312421,11.8,1998,"OUT010","Tier 3","Medium","Grocery Store"
"179",1,42.1112,"Soft Drinks",0.191013663,10.0328994893942,1985,"OUT019","Tier 1","Small","Grocery Store"
"180",0,157.4604,"Baking Goods",0.176573035,11.1,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"181",1,153.0656,"Frozen Foods",0.060134441,13.2428927169994,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"182",0,198.1426,"Meat",0.007294652,11.3,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"183",0,117.944,"Health and Hygiene",0.128478462,12.6767402730435,1985,"OUT019","Tier 1","Small","Grocery Store"
"184",1,112.8176,"Dairy",0.075107656,5.75,1987,"OUT013","Tier 3","High","Supermarket Type1"
"185",1,226.8062,"Baking Goods",0.049381406,10.5982116912813,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"186",1,100.0016,"Snack Foods",0.045165796,11.35,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"187",1,165.7526,"Fruits and Vegetables",0.09415375,12.4676977878698,1985,"OUT019","Tier 1","Small","Grocery Store"
"188",0,130.431,"Health and Hygiene",0.028907832,14,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"189",1,179.766,"Frozen Foods",0.018059621,19.75,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"190",0,85.0882,"Household",0.090436094,6.525,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"191",0,103.9648,"Meat",0.146399712,10.3,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"192",1,264.7568,"Snack Foods",0.074264356,5.78,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"193",1,164.1526,"Fruits and Vegetables",0.050186726,11.85,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"194",0,50.1324,"Fruits and Vegetables",0.020631654,16.35,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"195",0,182.5976,"Household",0.01561108,15.5486390864283,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"196",0,37.6164,"Fruits and Vegetables",0.041395445,10.5,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"197",1,48.0718,"Frozen Foods",0.097313129,19,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"198",0,238.8538,"Others",0.059582996,14.6,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"199",1,62.9194,"Dairy",0.098663652,13.8648145324613,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"200",1,232.63,"Canned",0.101338651,9.37254314220748,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"201",0,104.628,"Health and Hygiene",0.052146456,18.75,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"202",1,161.8868,"Baking Goods",0.041764487,5.26,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"203",0,140.2154,"Snack Foods",0.054344186,18.25,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"204",0,177.937,"Baking Goods",0.078362484,13.1769183869053,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"205",0,242.7512,"Meat",0.052339069,15.1,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"206",1,81.5934,"Baking Goods",0.042464962,15.5,1998,"OUT010","Tier 3","Medium","Grocery Store"
"207",0,45.7402,"Frozen Foods",0.065732883,13.65,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"208",0,189.3846,"Soft Drinks",0.023625114,16.1,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"209",1,107.3622,"Snack Foods",0.051643608,12.2062389025145,1985,"OUT019","Tier 1","Small","Grocery Store"
"210",0,39.7164,"Frozen Foods",0.165694219,12.85,1998,"OUT010","Tier 3","Medium","Grocery Store"
"211",0,32.99,"Soft Drinks",0.041878397,9.5,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"212",0,245.1802,"Dairy",0.058091482,13.8,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"213",1,263.7568,"Snack Foods",0,5.78,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"214",0,96.0726,"Household",0.026903714,19.7,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"215",0,161.5552,"Household",0,14.65,1998,"OUT010","Tier 3","Medium","Grocery Store"
"216",1,130.0626,"Snack Foods",0.150554711,6.67,1998,"OUT010","Tier 3","Medium","Grocery Store"
"217",1,131.2968,"Fruits and Vegetables",0,6.11,1998,"OUT010","Tier 3","Medium","Grocery Store"
"218",1,260.0936,"Frozen Foods",0.134975628,13.65,1998,"OUT010","Tier 3","Medium","Grocery Store"
"219",0,160.6578,"Meat",0.15616879,17.2,1987,"OUT013","Tier 3","High","Supermarket Type1"
"220",0,40.2822,"Meat",0,6.32,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"221",1,52.9298,"Baking Goods",0.133700752,4.88,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"222",1,88.3514,"Baking Goods",0.115119905,5.425,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"223",1,37.2506,"Frozen Foods",0.110030997,15.85,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"224",0,121.7072,"Canned",0.051038045,7.5,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"225",0,161.5578,"Soft Drinks",0.062837968,12.65,1987,"OUT013","Tier 3","High","Supermarket Type1"
"226",0,211.956,"Others",0.017116983,13.3565280934924,1985,"OUT019","Tier 1","Small","Grocery Store"
"227",0,124.173,"Fruits and Vegetables",0.024129332,20.75,1987,"OUT013","Tier 3","High","Supermarket Type1"
"228",0,152.134,"Dairy",0.049754975,13.0150783286215,1985,"OUT019","Tier 1","Small","Grocery Store"
"229",0,79.7644,"Canned",0,9,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"230",0,181.9292,"Canned",0.101561568,14.3166072732122,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"231",0,165.6526,"Household",0.005949644,10.6241486628163,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"232",1,170.4764,"Seafood",0.13956116,10.0728074499076,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"233",0,86.4198,"Fruits and Vegetables",0.126035694,14.1,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"234",0,152.334,"Canned",0.027164679,7.55,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"235",0,45.406,"Household",0.099325278,13,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"236",0,192.8846,"Hard Drinks",0.04357366,11.8378637049663,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"237",1,118.7782,"Snack Foods",0.082741482,11.9496962736744,1985,"OUT019","Tier 1","Small","Grocery Store"
"238",1,92.9804,"Starchy Foods",0.064565202,12.3,1987,"OUT013","Tier 3","High","Supermarket Type1"
"239",0,109.8912,"Snack Foods",0.084554569,11.6823665795177,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"240",0,79.9618,"Health and Hygiene",0.058451805,12.4097750464512,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"241",0,251.3724,"Household",0.113748685,17.25,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"242",0,42.7112,"Household",0.020603511,15.85,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"243",0,192.1846,"Health and Hygiene",0.052044976,18.85,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"244",1,227.6062,"Fruits and Vegetables",0.062764429,16.35,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"245",0,229.0668,"Dairy",0.087977262,14.1,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"246",0,249.0408,"Snack Foods",0.010010425,7.905,2004,"OUT035","Tier 2","Small","Supermarket Type1"
