Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,32,93.1436,2174.5028,12,0.0,17.85,5,7,1,,1
0,33,174.8738,2085.2856,1,0.097904029,17.5,2,8,0,Small,1
0,34,146.7102,3791.0652,9,0.08929113699999999,10.0,4,9,0,Medium,1
1,35,128.0678,2797.6916,3,0.059511812000000004,,0,5,2,Medium,3
1,36,122.5388,1609.9044,1,0.113123893,8.85,8,3,2,Medium,2
1,37,36.9874,388.1614,6,0.12311145300000001,,0,5,2,Medium,3
0,38,87.6198,2180.495,6,0.026480953999999998,,0,5,2,Medium,3
0,18,230.6352,3435.528,0,0.102511504,13.35,2,8,0,Small,1
0,39,126.00200000000001,2150.534,2,0.02681843,9.8,1,1,2,High,1
0,40,192.9136,2527.3768,6,0.117818348,13.6,4,9,0,Medium,1
0,41,259.9278,6768.5228,11,0.06910283099999999,21.35,8,3,2,Medium,2
1,42,126.5046,373.5138,11,0.042277867000000004,12.15,1,1,2,High,1
0,43,178.1002,358.2004,0,0.08949892599999999,6.42,3,0,2,,0
0,44,153.3024,2428.8384,9,0.0,19.6,5,7,1,,1
0,45,265.2226,5815.0972,11,0.025879577,10.0,5,7,1,,1
1,46,60.622,2576.646,5,0.121632721,15.85,2,8,0,Small,1
1,47,196.8794,780.3176,0,0.25539489600000004,,0,4,0,Small,0
0,48,143.8812,3134.5864,9,0.067779712,7.39,2,8,0,Small,1
0,49,141.5154,850.8924,7,0.159803853,10.195,1,1,2,High,1
1,50,117.0492,810.9444,11,0.028696932,9.895,1,1,2,High,1
0,51,196.3794,3121.2704,3,0.065041581,10.895,7,2,1,,1
0,52,151.4708,4815.0656,4,0.028760012999999997,12.15,7,2,1,,1
0,53,249.0408,6258.52,6,0.010053105,7.905,8,3,2,Medium,2
0,54,106.1622,2117.244,4,0.048157338,9.195,5,7,1,,1
0,55,38.0506,796.9626,10,0.071958197,8.365,4,9,0,Medium,1
0,56,194.511,4910.275,6,0.17348130399999998,15.1,2,8,0,Small,1
0,57,180.0344,892.172,11,0.061082177,,0,4,0,Small,0
0,58,246.9144,3185.1872,3,0.0,10.0,8,3,2,Medium,2
1,59,87.3514,1062.6168,2,0.040071131,7.97,5,7,1,,1
0,60,38.2848,484.7024,3,0.012090074,,0,5,2,Medium,3
1,61,51.0692,147.8076,7,0.15028599,,0,4,0,Small,0
0,62,255.8356,2543.356,6,0.026015518999999997,,0,5,2,Medium,3
0,63,185.4266,184.4266,6,0.195068226,17.7,3,0,2,,0
0,64,172.5738,4865.6664,2,0.033082215,19.35,6,6,1,Small,1
1,65,186.024,1118.5439999999999,0,0.078946455,13.65,5,7,1,,1
0,66,164.8526,2302.3364,1,0.041700756,17.6,5,7,1,,1
0,67,95.84100000000001,2027.361,9,0.14342264300000002,8.645,2,8,0,Small,1
1,68,170.1764,3435.528,6,0.10529607199999999,15.6,2,8,0,Small,1
1,46,59.222,599.22,5,0.121531501,15.85,1,1,2,High,1
0,69,164.7526,4604.6728,13,0.0,18.25,5,7,1,,1
0,70,189.6188,2285.0256,11,0.011324862,7.855,7,2,1,,1
0,71,254.3698,5580.7356,4,0.186357148,7.825,4,9,0,Medium,1
1,72,114.0176,2290.3520000000003,7,0.024205661,8.39,2,8,0,Small,1
0,73,172.3422,1207.0954,6,0.033230816,12.85,4,9,0,Medium,1
0,74,89.9804,643.1628,5,0.113720344,,0,4,0,Small,0
0,75,104.9622,1587.933,7,0.11255650699999999,19.0,7,2,1,,1
0,76,222.5456,5305.0944,11,0.0,5.905,5,7,1,,1
0,77,101.87,1697.79,6,0.05935224099999999,7.76,2,8,0,Small,1
1,78,180.3344,1427.4752,7,0.014087057,11.8,2,8,0,Small,1
0,79,187.9556,4693.89,6,0.045230944,16.75,8,3,2,Medium,2
0,80,194.6136,583.2408,4,0.293417759,,0,4,0,Small,0
1,81,171.3764,3091.9752,5,0.031382044,,0,5,2,Medium,3
1,82,177.0028,2479.4392,3,0.12639886,15.5,7,2,1,,1
0,83,160.99200000000002,2716.4640000000004,3,0.025403897999999998,6.055,6,6,1,Small,1
1,84,155.963,3285.723,8,0.039057677,,0,5,2,Medium,3
1,85,95.6436,661.8052,6,0.123115764,6.305,2,8,0,Small,1
0,86,117.2808,1523.3504,2,0.039624006,20.85,4,9,0,Medium,1
0,87,122.17299999999999,369.519,3,0.040421193,20.75,3,0,2,,0
0,88,39.9138,690.4346,0,0.10527411099999999,8.895,4,9,0,Medium,1
0,89,55.1614,1381.535,1,0.033970195,19.6,5,7,1,,1
0,90,57.893,622.523,3,0.053212652,19.7,6,6,1,Small,1
0,91,114.5492,1274.3412,9,0.024378706,9.8,6,6,1,Small,1
0,92,120.0414,487.3656,7,0.009714595,,0,4,0,Small,0
0,93,246.046,1231.73,7,0.131383762,12.15,4,9,0,Medium,1
1,94,187.4556,3755.112,3,0.07461309,8.75,6,6,1,Small,1
0,52,149.9708,4363.6532,4,0.028459761,,0,5,2,Medium,3
1,94,187.8556,1314.2892,3,0.07462720099999999,8.75,2,8,0,Small,1
0,95,151.0708,1805.6496,7,0.063695084,13.3,5,7,1,,1
1,96,178.5344,2854.9504,6,0.045797829000000005,,0,5,2,Medium,3
1,97,179.1028,3896.2616,6,0.11585722300000001,8.31,4,9,0,Medium,1
1,98,38.7822,667.7974,1,0.024832806000000002,16.75,1,1,2,High,1
0,99,212.0902,3185.853,6,0.034027909,19.75,8,3,2,Medium,2
1,100,141.1838,2247.7408,11,0.046769599999999995,17.1,1,1,2,High,1
1,101,163.121,1794.3310000000001,5,0.11657670199999999,10.5,1,1,2,High,1
1,102,121.3098,2530.7058,5,0.0,6.635,5,7,1,,1
0,103,225.372,679.1160000000001,1,0.278974075,,0,4,0,Small,0
0,104,41.4138,812.2760000000001,1,0.035913805,14.15,1,1,2,High,1
0,105,232.53,699.09,0,0.079806266,13.3,2,8,0,Small,1
0,106,102.4016,2732.4432,7,0.005505481,8.89,7,2,1,,1
1,107,176.937,176.437,2,0.064625342,,0,4,0,Small,0
0,108,121.7098,4097.3332,6,0.071636937,,0,5,2,Medium,3
1,109,173.2054,3151.8972,12,0.0,9.1,5,7,1,,1
0,110,239.0906,5942.265,7,0.032677677999999995,7.5,4,9,0,Medium,1
1,111,192.4478,4843.695,7,0.160760054,16.85,7,2,1,,1
0,112,109.0228,2542.0244,6,0.06911065,7.485,6,6,1,Small,1
0,113,140.3154,2552.6772,1,0.041177505,11.6,7,2,1,,1
0,114,227.0694,1141.847,6,0.040081193,11.65,8,3,2,Medium,2
0,115,47.5034,680.4476,4,0.035307322,13.0,7,2,1,,1
0,116,159.0578,2085.9514,1,0.063017847,12.65,5,7,1,,1
1,117,92.512,186.424,11,0.171938781,20.25,3,0,2,,0
1,118,190.153,3036.048,11,0.040197932,8.6,6,6,1,Small,1
0,119,62.7194,866.8716,12,0.049058014000000004,12.6,7,2,1,,1
0,120,95.041,868.8689999999999,7,0.01161096,17.7,6,6,1,Small,1
0,121,82.4276,1137.1864,1,0.183507295,14.15,2,8,0,Small,1
0,29,52.7956,928.1252,0,0.102349519,19.25,7,2,1,,1
0,122,151.7682,762.341,10,0.08670898699999999,8.88,1,1,2,High,1
0,123,40.2822,707.0796,4,0.032835147,20.5,5,7,1,,1
0,124,180.5976,7968.2944,11,0.033809913,,0,5,2,Medium,3
0,125,160.292,1438.128,4,0.07266912,13.5,2,8,0,Small,1
0,126,224.4404,6976.2524,9,0.144338493,,0,5,2,Medium,3
0,106,101.7016,101.2016,7,0.009163216,8.89,3,0,2,,0
0,70,188.5188,952.0939999999999,11,0.011307038,7.855,8,3,2,Medium,2
0,127,116.0492,1969.4364,4,0.076855628,7.235,2,8,0,Small,1
0,69,165.4526,5262.4832,13,0.059956876,,0,5,2,Medium,3
0,128,60.5852,1314.2892,0,0.038532062,6.92,5,7,1,,1
0,129,90.8172,535.3032,3,0.043209581,9.3,7,2,1,,1
0,130,132.1284,263.6568,14,0.056816465,18.5,3,0,2,,0
0,131,154.5972,1402.1748,4,0.019866705,8.02,6,6,1,Small,1
0,54,105.1622,1693.7952,4,0.048331717,9.195,7,2,1,,1
0,132,105.5938,2143.876,14,0.091221855,12.8,5,7,1,,1
0,133,177.6344,2676.5159999999996,4,0.027622076000000002,16.6,4,9,0,Medium,1
1,134,53.06399999999999,905.488,7,0.0,14.0,6,6,1,Small,1
0,135,246.3802,7370.406,7,0.039355947,18.6,4,9,0,Medium,1
0,136,226.8404,6301.1312,13,0.060836524,16.0,6,6,1,Small,1
0,137,160.692,1597.92,9,0.082316506,17.6,6,6,1,Small,1
0,138,178.237,529.311,6,0.155350299,21.25,6,6,1,Small,1
0,127,117.5492,1969.4364,4,0.076841095,7.235,6,6,1,Small,1
0,139,50.3692,1034.6532,1,0.151419185,14.6,7,2,1,,1
1,23,161.52100000000002,1794.3310000000001,7,0.026001976,13.85,8,3,2,Medium,2
1,140,197.6426,2768.3964,7,0.073209447,13.65,8,3,2,Medium,2
0,141,31.29,898.83,1,0.041683481,,0,5,2,Medium,3
0,142,226.172,3169.208,3,0.042560252,7.365,2,8,0,Small,1
0,143,223.5746,3589.9936,4,0.014081156000000001,18.35,8,3,2,Medium,2
1,144,132.5626,262.3252,5,0.0,5.465,8,3,2,Medium,2
0,145,99.8358,1910.1802,8,0.152918384,18.6,7,2,1,,1
0,146,140.9154,1701.7848,1,0.030969273999999998,13.85,7,2,1,,1
1,147,154.5656,2471.4496,7,0.06037677599999999,14.0,1,1,2,High,1
1,148,54.763999999999996,1331.6,6,0.04192285,14.0,1,1,2,High,1
0,149,97.0094,1808.9786,3,0.077367431,,0,5,2,Medium,3
0,76,222.5456,3315.684,11,0.045838211,5.905,8,3,2,Medium,2
0,150,114.2518,2618.5914,1,0.071077939,7.27,2,8,0,Small,1
1,151,214.55599999999998,2769.728,2,0.09465987099999999,6.155,2,8,0,Small,1
1,152,233.4958,5375.0034,1,0.077608838,19.5,7,2,1,,1
0,153,216.8824,2838.9712,11,0.021327477,15.2,7,2,1,,1
1,42,125.0046,1743.0644,11,0.042485444000000004,12.15,8,3,2,Medium,2
0,21,198.8084,5555.4352,4,0.025578526,,0,5,2,Medium,3
0,119,61.9194,619.194,12,0.048980800000000005,12.6,8,3,2,Medium,2
0,154,164.821,2120.573,14,0.019471688,14.5,6,6,1,Small,1
0,155,173.0738,3823.0236,3,0.122918852,16.6,7,2,1,,1
1,156,151.4366,1360.2294,2,0.057373797000000004,11.8,1,1,2,High,1
1,157,178.8318,3969.4996,3,0.044155597000000005,13.1,1,1,2,High,1
0,158,115.1834,345.5502,3,0.291865402,17.7,3,0,2,,0
0,159,196.5794,585.2382,12,0.0,17.85,3,0,2,,0
1,160,92.6804,1010.6844,13,0.064750025,12.3,5,7,1,,1
0,161,81.4618,161.1236,9,0.098312421,11.8,3,0,2,,0
1,162,42.1112,42.6112,1,0.191013663,,0,4,0,Small,0
0,163,157.4604,3010.7476,5,0.176573035,11.1,5,7,1,,1
1,147,153.0656,6024.1584,7,0.060134441,,0,5,2,Medium,3
0,164,198.1426,988.7130000000001,2,0.0072946519999999996,11.3,5,7,1,,1
0,165,117.944,239.688,9,0.128478462,,0,4,0,Small,0
1,166,112.8176,1374.2112,0,0.075107656,5.75,1,1,2,High,1
1,167,226.8062,4739.8302,5,0.049381405999999996,,0,5,2,Medium,3
1,168,100.0016,1012.0160000000001,6,0.045165795999999994,11.35,8,3,2,Medium,2
1,169,165.7526,657.8104,3,0.09415375,,0,4,0,Small,0
0,170,130.431,778.9860000000001,9,0.028907832,14.0,4,9,0,Medium,1
1,171,179.766,2336.958,7,0.018059621,19.75,5,7,1,,1
0,172,85.0882,2233.0932,4,0.09043609400000001,6.525,4,9,0,Medium,1
0,173,103.9648,1661.8368,2,0.146399712,10.3,4,9,0,Medium,1
1,174,264.7568,4745.8224,6,0.07426435599999999,5.78,4,9,0,Medium,1
1,175,164.1526,3124.5994,3,0.050186725999999994,11.85,5,7,1,,1
0,176,50.1324,467.3916,3,0.020631654,16.35,8,3,2,Medium,2
0,177,182.5976,5070.7328,4,0.01561108,,0,5,2,Medium,3
0,178,37.6164,540.6296,3,0.041395445,10.5,2,8,0,Small,1
1,179,48.0718,992.7078,7,0.097313129,19.0,2,8,0,Small,1
0,180,238.8538,6008.845,14,0.059582996,14.6,4,9,0,Medium,1
1,181,62.9194,2105.2596,0,0.09866365199999999,,0,5,2,Medium,3
1,182,232.63,5359.69,11,0.101338651,,0,5,2,Medium,3
0,183,104.62799999999999,745.696,9,0.052146455999999994,18.75,5,7,1,,1
1,184,161.8868,3275.736,5,0.041764487,5.26,6,6,1,Small,1
0,185,140.2154,1701.7848,6,0.054344185999999996,18.25,5,7,1,,1
0,186,177.937,6704.606,5,0.07836248400000001,,0,5,2,Medium,3
0,187,242.7512,4119.9704,2,0.052339069,15.1,2,8,0,Small,1
1,188,81.5934,327.5736,5,0.042464962,15.5,3,0,2,,0
0,189,45.7402,780.9834,7,0.06573288299999999,13.65,4,9,0,Medium,1
0,190,189.3846,3630.6074,1,0.023625114,16.1,5,7,1,,1
1,191,107.3622,317.5866,6,0.051643608,,0,4,0,Small,0
0,192,39.7164,231.6984,7,0.165694219,12.85,3,0,2,,0
0,141,32.99,133.16,1,0.041878397000000005,9.5,6,6,1,Small,1
0,193,245.1802,5650.6446,0,0.058091482,13.8,6,6,1,Small,1
1,174,263.7568,2636.5679999999998,6,0.0,5.78,7,2,1,,1
0,194,96.0726,1272.3438,4,0.026903714,19.7,5,7,1,,1
0,195,161.5552,324.9104,4,0.0,14.65,3,0,2,,0
1,196,130.0626,131.1626,6,0.150554711,6.67,3,0,2,,0
1,197,131.2968,260.9936,3,0.0,6.11,3,0,2,,0
1,198,260.0936,260.9936,7,0.13497562800000001,13.65,3,0,2,,0
0,199,160.6578,3690.5294,2,0.15616879,17.2,1,1,2,High,1
0,200,40.2822,1139.1838,2,0.0,6.32,6,6,1,Small,1
1,201,52.9298,1995.4026,5,0.133700752,4.88,4,9,0,Medium,1
1,202,88.3514,1416.8224,5,0.115119905,5.425,7,2,1,,1
1,203,37.2506,265.6542,7,0.11003099699999999,15.85,2,8,0,Small,1
0,204,121.7072,3552.7088,11,0.051038045,7.5,7,2,1,,1
0,116,161.5578,2406.867,1,0.062837968,12.65,1,1,2,High,1
0,205,211.956,213.05599999999998,14,0.017116983,,0,4,0,Small,0
0,87,124.17299999999999,2956.152,3,0.024129332000000003,20.75,1,1,2,High,1
0,206,152.134,153.134,0,0.049754975,,0,4,0,Small,0
0,207,79.7644,1649.8524,11,0.0,9.0,6,6,1,Small,1
0,208,181.9292,3101.2964,11,0.101561568,,0,5,2,Medium,3
0,209,165.6526,4769.1254,4,0.0059496440000000005,,0,5,2,Medium,3
1,210,170.4764,3435.528,15,0.13956116,,0,5,2,Medium,3
0,211,86.4198,1133.8574,3,0.126035694,14.1,5,7,1,,1
0,212,152.334,2603.278,11,0.027164679,7.55,6,6,1,Small,1
0,24,45.406000000000006,605.878,4,0.099325278,13.0,2,8,0,Small,1
0,213,192.8846,2293.0152,10,0.04357366,,0,5,2,Medium,3
1,13,118.7782,119.1782,6,0.082741482,,0,4,0,Small,0
1,160,92.9804,1929.4884,13,0.064565202,12.3,1,1,2,High,1
0,214,109.8912,2074.6328,6,0.08455456900000001,,0,5,2,Medium,3
0,161,79.9618,241.6854,9,0.058451805,,0,5,2,Medium,3
0,215,251.3724,6795.1548,4,0.113748685,17.25,5,7,1,,1
0,216,42.7112,639.168,4,0.020603511,15.85,7,2,1,,1
0,217,192.1846,3248.4382,9,0.052044976,18.85,6,6,1,Small,1
1,218,227.6062,7222.5984,3,0.06276442900000001,16.35,7,2,1,,1
0,219,229.0668,3225.1352,0,0.08797726199999999,14.1,6,6,1,Small,1
0,53,249.0408,3755.112,6,0.010010425,7.905,6,6,1,Small,1
0,124,179.3976,3440.8544,11,0.033946163,12.0,1,1,2,High,1
1,220,163.4552,974.7312,3,0.058414678,12.15,6,6,1,Small,1
0,221,75.367,535.969,2,0.027106459,10.1,4,9,0,Medium,1
0,222,262.491,5259.82,7,0.027022882999999998,17.5,7,2,1,,1
0,223,152.034,306.268,0,0.058153409,,0,4,0,Small,0
0,224,112.3886,1779.0176,3,0.128937661,17.1,8,3,2,Medium,2
0,225,61.451,759.012,3,0.088846306,7.785,4,9,0,Medium,1
1,226,125.9704,1877.556,6,0.09357779,11.8,1,1,2,High,1
1,227,171.8764,3779.0808,3,0.165694678,13.15,5,7,1,,1
0,228,41.5796,41.2796,7,0.148392623,,0,4,0,Small,0
0,229,51.1324,259.66200000000003,11,0.098438394,8.5,7,2,1,,1
0,67,96.34100000000001,193.082,9,0.143303291,8.645,1,1,2,High,1
1,230,110.9202,1687.8029999999999,2,0.076276208,17.6,5,7,1,,1
0,231,127.5362,4655.9394,5,0.175103435,9.1,7,2,1,,1
1,232,225.9404,4950.8888,2,0.023511371,12.8,1,1,2,High,1
0,233,95.4436,1418.154,1,0.06105276,7.63,6,6,1,Small,1
1,234,246.4144,1225.072,7,0.049559042000000005,9.285,7,2,1,,1
1,235,231.03,5359.69,0,0.119418124,13.6,5,7,1,,1
0,236,176.237,1764.37,8,0.072545601,8.895,5,7,1,,1
0,237,195.21099999999998,2553.343,4,0.090486828,16.35,1,1,2,High,1
0,238,43.3454,1006.6896,7,0.056245075,17.6,1,1,2,High,1
0,239,85.225,1081.925,5,0.014618973,7.975,1,1,2,High,1
0,240,36.7164,308.9312,13,0.04347912599999999,15.85,7,2,1,,1
0,241,178.666,2516.724,7,0.045166237000000005,15.7,1,1,2,High,1
1,242,128.83100000000002,1428.141,7,0.057827101,8.985,2,8,0,Small,1
0,243,260.1594,2093.2752,0,0.089394766,20.35,1,1,2,High,1
0,244,85.6908,1929.4884,3,0.10550944,6.59,1,1,2,High,1
0,245,264.0884,5829.7448,0,0.005234153,19.85,6,6,1,Small,1
0,246,91.4488,2082.6224,6,0.036390174,16.85,2,8,0,Small,1
0,64,173.1738,7298.4996,2,0.03292824,,0,5,2,Medium,3
0,247,256.4988,7452.9652,3,0.081252534,16.75,1,1,2,High,1
1,230,110.5202,450.0808,2,0.076552407,17.6,7,2,1,,1
0,53,250.4408,500.6816,6,0.016758568999999997,7.905,3,0,2,,0
0,248,126.20200000000001,3668.558,6,0.044248175,,0,5,2,Medium,3
1,249,103.1964,736.3748,3,0.038288087,7.785,8,3,2,Medium,2
0,71,253.0698,6088.0752,4,0.186032678,7.825,6,6,1,Small,1
0,250,101.0016,2125.2336,4,0.031867464,,0,5,2,Medium,3
0,251,153.0024,2277.036,1,0.021370201000000002,20.75,7,2,1,,1
0,252,190.3846,573.2538,3,0.193772568,,0,4,0,Small,0
1,253,151.1366,2267.049,2,0.009866049,6.26,6,6,1,Small,1
0,254,147.3734,296.9468,3,0.082551042,18.2,3,0,2,,0
0,24,46.306000000000004,559.2719999999999,4,0.099729888,13.0,8,3,2,Medium,2
1,255,222.1772,5559.43,3,0.018801549,20.25,6,6,1,Small,1
0,256,95.5094,1237.7222,4,0.11972145099999999,8.695,4,9,0,Medium,1
0,150,113.5518,569.259,1,0.071222087,7.27,5,7,1,,1
1,257,174.0712,3866.9664,8,0.060371962,,0,5,2,Medium,3
0,258,198.4768,1379.5376,3,0.033287541000000004,12.85,5,7,1,,1
0,259,142.7128,1869.5664,0,0.05858462,7.075,8,3,2,Medium,2
1,260,196.21099999999998,5499.508000000001,5,0.11679292,,0,5,2,Medium,3
0,261,94.3462,925.462,5,0.031452265,8.195,4,9,0,Medium,1
0,262,47.9034,583.2408,5,0.00721395,7.09,6,6,1,Small,1
0,263,141.4154,1418.154,14,0.081196619,6.095,2,8,0,Small,1
1,264,80.2644,942.7728,3,0.049916364000000005,19.35,7,2,1,,1
0,265,99.3384,2364.9216,5,0.04627095,6.15,2,8,0,Small,1
1,266,87.9856,3251.7672,11,0.02747716,,0,5,2,Medium,3
1,35,125.2678,254.3356,3,0.10470453699999999,,0,4,0,Small,0
0,267,167.0474,5895.659000000001,4,0.012540003000000001,17.7,6,6,1,Small,1
0,32,93.7436,1134.5232,12,0.147023834,17.85,8,3,2,Medium,2
0,103,224.972,7696.648,1,0.15965759599999998,9.395,5,7,1,,1
0,268,250.5382,2775.7202,10,0.141398626,15.75,7,2,1,,1
0,269,241.2854,5317.0788,3,0.148821808,7.475,5,7,1,,1
0,270,98.0068,874.8612,7,0.0,7.075,8,3,2,Medium,2
0,271,92.6436,1039.9796,5,0.029691762000000003,6.445,2,8,0,Small,1
0,272,235.0958,3038.0454,3,0.09671552300000001,19.1,6,6,1,Small,1
1,273,193.6162,3848.324,0,0.014790558999999998,20.25,6,6,1,Small,1
1,274,59.1904,527.3136,11,0.054378253,15.0,2,8,0,Small,1
1,275,89.1514,2390.8878,6,0.123428594,6.67,2,8,0,Small,1
1,276,60.222,1677.816,11,0.029943462999999997,,0,5,2,Medium,3
1,277,112.7176,801.6232,7,0.052368060999999994,16.7,1,1,2,High,1
0,278,115.5834,1267.0174,6,0.09386114400000001,7.07,5,7,1,,1
0,279,148.0076,886.8456,6,0.033968647000000005,6.48,5,7,1,,1
1,280,228.27200000000002,452.744,3,0.173154079,19.0,3,0,2,,0
0,281,147.5392,3877.6192,7,0.139735226,13.35,5,7,1,,1
0,282,146.6418,4414.254,3,0.043351895999999994,,0,5,2,Medium,3
0,283,122.4388,5448.9072,10,0.042086652,,0,5,2,Medium,3
1,284,223.9404,4950.8888,5,0.12848269,9.695,4,9,0,Medium,1
0,285,62.6168,958.752,1,0.049357077,15.0,7,2,1,,1
1,286,149.9708,1956.1204,0,0.008326735,11.15,7,2,1,,1
0,287,103.2306,2404.2038,3,0.021362955,20.85,4,9,0,Medium,1
0,288,194.3478,387.4956,14,0.151420934,9.8,3,0,2,,0
0,289,165.0842,994.7052,2,0.032511818,16.35,1,1,2,High,1
1,290,101.29899999999999,1754.3829999999998,12,0.022323658,9.6,5,7,1,,1
0,291,129.9994,3340.9844,9,0.019292355,,0,5,2,Medium,3
0,292,216.7166,3918.8988,12,0.048124442999999996,13.35,5,7,1,,1
0,293,76.367,306.268,0,0.09261307,20.7,1,1,2,High,1
0,294,158.4604,4278.4308,5,0.094697274,,0,5,2,Medium,3
0,295,260.6278,4425.5726,3,0.035984103999999996,16.2,5,7,1,,1
1,296,230.9984,9267.936,6,0.056596985,,0,5,2,Medium,3
0,297,76.867,229.701,7,0.2047,,0,4,0,Small,0
1,298,129.3994,2055.9904,8,0.020618324,,0,5,2,Medium,3
0,299,101.3016,3339.6528,14,0.04709821,5.5,2,8,0,Small,1
1,300,221.7456,6410.3224,3,0.087584126,15.1,5,7,1,,1
1,301,122.9046,1992.0736,7,0.038078899,15.7,7,2,1,,1
1,302,104.4332,2870.9296,8,0.095102092,7.895,7,2,1,,1
1,303,164.5184,2807.0128,11,0.011953901999999999,,0,5,2,Medium,3
1,304,88.18299999999999,539.298,5,0.062799379,17.35,1,1,2,High,1
0,305,174.3054,4377.635,4,0.031125708999999998,7.285,1,1,2,High,1
0,306,180.9976,2716.4640000000004,4,0.026005891,20.25,5,7,1,,1
0,307,190.9504,383.5008,6,0.09246392,,0,4,0,Small,0
0,308,59.5904,703.0848,1,0.107765165,15.85,4,9,0,Medium,1
0,309,66.3826,1937.4779999999998,2,0.010647476999999999,6.17,4,9,0,Medium,1
0,310,182.2608,3307.6944,4,0.015749341,19.5,4,9,0,Medium,1
0,311,197.611,3142.5759999999996,4,0.077628053,19.2,4,9,0,Medium,1
0,208,181.2292,2554.0088,11,0.0,16.7,8,3,2,Medium,2
1,312,104.0648,1869.5664,12,0.056695731,20.85,8,3,2,Medium,2
1,313,260.4594,5494.8474,12,0.063993068,14.5,5,7,1,,1
1,314,233.1616,6093.4016,2,0.06952926200000001,11.395,1,1,2,High,1
0,315,174.0422,2586.633,1,0.034452949,7.97,2,8,0,Small,1
1,316,55.2956,1255.6988,6,0.06670068,7.71,4,9,0,Medium,1
1,317,141.7496,4093.3384,11,0.034699737,19.25,2,8,0,Small,1
0,259,142.2128,3163.8816,0,0.058346939,7.075,2,8,0,Small,1
1,318,166.0816,5033.448,2,0.065203103,,0,5,2,Medium,3
1,319,79.9276,1137.1864,7,0.07892957099999999,11.6,2,8,0,Small,1
0,320,98.77,2696.49,3,0.18251488100000002,,0,5,2,Medium,3
0,321,178.56599999999997,898.83,10,0.016895293000000002,12.1,8,3,2,Medium,2
0,165,118.244,2756.4120000000003,9,0.073379745,10.0,2,8,0,Small,1
0,322,81.896,878.8560000000001,5,0.08075758,14.35,5,7,1,,1
0,323,58.222,659.1419999999999,6,0.11227149800000001,10.395,4,9,0,Medium,1
0,324,182.6292,182.4292,0,0.153741385,,0,4,0,Small,0
0,325,211.4902,3610.6334,3,0.127929521,8.1,1,1,2,High,1
1,326,256.4646,5153.292,3,0.07838564,8.05,6,6,1,Small,1
1,327,108.7596,2588.6304,2,0.078502143,9.195,7,2,1,,1
1,328,212.5876,1286.3256,0,0.047684831,20.7,8,3,2,Medium,2
